W,NOV 05:1993,1993-94,Regular Season,00,SAN vs. GOS,31,71,3,6,26,37,10,37,15,4,11,15,25,91,20,2,21,2,79,207,29
L,NOV 07:1993,1993-94,Regular Season,00,SAN vs. BKN,28,85,4,11,13,28,17,29,17,2,11,11,24,73,20,2,21,2,79,207,29
W,NOV 09:1993,1993-94,Regular Season,00,SAN vs. MIN,39,86,4,8,28,36,20,34,22,10,11,13,21,110,20,2,21,2,79,207,29
L,NOV 10:1993,1993-94,Regular Season,00,SAN @ PHX,34,84,3,11,22,27,13,31,25,8,4,11,21,93,20,2,21,2,79,207,29
L,NOV 12:1993,1993-94,Regular Season,00,SAN @ SAC,34,78,2,11,21,27,16,29,19,5,6,16,27,91,20,2,21,2,79,207,29
L,NOV 13:1993,1993-94,Regular Season,00,SAN @ LAC,39,86,5,9,7,9,16,22,24,10,7,18,21,90,20,2,21,2,79,207,29
W,NOV 16:1993,1993-94,Regular Season,00,SAN @ DEN,29,77,2,9,26,33,9,39,15,6,8,12,20,86,20,2,21,2,79,207,29
W,NOV 17:1993,1993-94,Regular Season,00,SAN vs. NYK,35,81,1,7,24,30,21,25,13,9,6,18,18,95,20,2,21,2,79,207,29
L,NOV 19:1993,1993-94,Regular Season,00,SAN @ DET,34,82,4,10,14,24,18,32,19,4,4,11,21,86,20,2,21,2,79,207,29
W,NOV 20:1993,1993-94,Regular Season,00,SAN @ MIL,42,76,0,6,17,25,10,24,23,7,3,13,22,101,20,2,21,2,79,207,29
W,NOV 22:1993,1993-94,Regular Season,00,SAN vs. LAC,43,77,3,8,21,31,15,31,29,11,4,20,20,110,20,2,21,2,79,207,29
W,NOV 24:1993,1993-94,Regular Season,00,SAN vs. CHI,46,83,2,5,15,19,11,36,25,13,3,16,23,109,20,2,21,2,79,207,29
W,NOV 27:1993,1993-94,Regular Season,00,SAN vs. DAL,40,88,2,8,22,32,18,35,24,9,6,5,17,104,20,2,21,2,79,207,29
W,NOV 29:1993,1993-94,Regular Season,00,SAN vs. MIL,38,72,3,7,23,30,10,34,27,8,4,16,18,102,20,2,21,2,79,207,29
W,DEC 01:1993,1993-94,Regular Season,00,SAN @ CHH,40,85,1,6,11,17,15,40,28,6,10,15,16,92,20,2,21,2,79,207,29
W,DEC 03:1993,1993-94,Regular Season,00,SAN @ ORL,34,80,2,5,24,32,17,32,25,9,4,11,23,94,20,2,21,2,79,207,29
W,DEC 04:1993,1993-94,Regular Season,00,SAN @ PHL,35,73,2,5,18,24,12,43,24,6,7,19,20,90,20,2,21,2,79,207,29
L,DEC 08:1993,1993-94,Regular Season,00,SAN vs. OKC,35,75,6,13,31,36,11,32,26,6,8,23,26,107,20,2,21,2,79,207,29
L,DEC 09:1993,1993-94,Regular Season,00,SAN @ ATL,38,90,4,12,15,24,24,22,22,8,1,16,22,95,20,2,21,2,79,207,29
W,DEC 11:1993,1993-94,Regular Season,00,SAN vs. DEN,38,81,1,6,28,38,13,23,20,10,3,7,20,105,20,2,21,2,79,207,29
L,DEC 13:1993,1993-94,Regular Season,00,SAN @ UTH,33,69,2,10,19,28,13,27,18,5,3,20,22,87,20,2,21,2,79,207,29
W,DEC 15:1993,1993-94,Regular Season,00,SAN vs. POR,41,76,6,9,23,31,11,40,27,8,3,19,20,111,20,2,21,2,79,207,29
W,DEC 16:1993,1993-94,Regular Season,00,SAN @ DAL,38,71,5,10,22,27,14,38,25,6,4,23,26,103,20,2,21,2,79,207,29
L,DEC 18:1993,1993-94,Regular Season,00,SAN @ CHI,37,81,5,16,11,20,14,17,24,6,2,7,16,90,20,2,21,2,79,207,29
L,DEC 21:1993,1993-94,Regular Season,00,SAN vs. HOU,31,80,4,10,22,27,15,33,19,10,1,17,18,88,20,2,21,2,79,207,29
L,DEC 23:1993,1993-94,Regular Season,00,SAN vs. UTH,36,81,2,10,14,18,13,25,21,6,3,12,20,88,20,2,21,2,79,207,29
W,DEC 26:1993,1993-94,Regular Season,00,SAN vs. BOS,38,74,3,5,20,31,12,35,24,3,10,11,18,99,20,2,21,2,79,207,29
W,DEC 28:1993,1993-94,Regular Season,00,SAN @ MIA,29,68,2,2,24,33,11,37,13,5,6,18,22,84,20,2,21,2,79,207,29
W,DEC 30:1993,1993-94,Regular Season,00,SAN @ IND,44,89,6,12,13,15,20,29,31,11,8,14,19,107,20,2,21,2,79,207,29
W,JAN 02:1994,1993-94,Regular Season,00,SAN vs. LAL,36,76,0,5,22,33,12,34,22,4,2,13,18,94,20,2,21,2,79,207,29
W,JAN 04:1994,1993-94,Regular Season,00,SAN vs. PHL,43,83,3,6,18,24,16,39,23,10,3,17,19,107,20,2,21,2,79,207,29
L,JAN 06:1994,1993-94,Regular Season,00,SAN @ GOS,37,95,6,14,18,23,33,38,23,4,2,25,30,98,20,2,21,2,79,207,29
W,JAN 07:1994,1993-94,Regular Season,00,SAN @ DEN,31,77,2,5,20,27,7,27,16,14,3,7,21,84,20,2,21,2,79,207,29
W,JAN 09:1994,1993-94,Regular Season,00,SAN @ LAL,37,74,5,10,16,19,12,38,27,7,5,23,24,95,20,2,21,2,79,207,29
W,JAN 11:1994,1993-94,Regular Season,00,SAN vs. MIN,43,83,3,11,19,29,13,32,32,6,11,11,23,108,20,2,21,2,79,207,29
W,JAN 13:1994,1993-94,Regular Season,00,SAN vs. PHX,44,92,5,13,14,21,21,31,22,14,4,14,17,107,20,2,21,2,79,207,29
W,JAN 15:1994,1993-94,Regular Season,00,SAN @ DAL,37,73,3,4,27,31,20,34,23,4,4,20,19,104,20,2,21,2,79,207,29
W,JAN 17:1994,1993-94,Regular Season,00,SAN @ WAS,41,75,2,5,16,21,10,28,25,3,5,11,27,100,20,2,21,2,79,207,29
L,JAN 19:1994,1993-94,Regular Season,00,SAN @ NYK,43,84,6,11,16,21,7,22,24,4,4,13,19,108,20,2,21,2,79,207,29
L,JAN 20:1994,1993-94,Regular Season,00,SAN @ MIN,32,79,2,10,17,26,17,21,18,7,5,12,17,83,20,2,21,2,79,207,29
W,JAN 22:1994,1993-94,Regular Season,00,SAN vs. DAL,39,83,5,13,20,26,18,34,26,8,3,17,23,103,20,2,21,2,79,207,29
W,JAN 25:1994,1993-94,Regular Season,00,SAN vs. SAC,40,90,4,10,23,29,15,37,21,12,2,14,17,107,20,2,21,2,79,207,29
W,JAN 29:1994,1993-94,Regular Season,00,SAN vs. ATL,41,83,4,8,14,17,17,35,25,5,3,12,13,100,20,2,21,2,79,207,29
W,FEB 01:1994,1993-94,Regular Season,00,SAN vs. LAL,45,94,6,15,16,20,21,38,26,4,6,9,15,112,20,2,21,2,79,207,29
W,FEB 03:1994,1993-94,Regular Season,00,SAN @ CLE,37,79,4,4,20,23,15,32,26,4,3,16,21,98,20,2,21,2,79,207,29
W,FEB 04:1994,1993-94,Regular Season,00,SAN @ BOS,38,80,2,5,22,28,22,27,27,8,4,19,23,100,20,2,21,2,79,207,29
W,FEB 06:1994,1993-94,Regular Season,00,SAN @ BKN,41,91,3,18,19,25,15,32,21,8,3,11,22,104,20,2,21,2,79,207,29
W,FEB 08:1994,1993-94,Regular Season,00,SAN vs. WAS,46,80,3,6,15,23,13,33,27,8,11,12,15,110,20,2,21,2,79,207,29
W,FEB 10:1994,1993-94,Regular Season,00,SAN vs. DEN,37,82,1,8,19,28,13,35,21,6,7,11,19,94,20,2,21,2,79,207,29
W,FEB 15:1994,1993-94,Regular Season,00,SAN vs. IND,40,74,4,7,25,34,13,30,23,8,8,14,22,109,20,2,21,2,79,207,29
W,FEB 17:1994,1993-94,Regular Season,00,SAN vs. DET,44,83,2,11,25,34,14,34,31,7,13,7,13,115,20,2,21,2,79,207,29
W,FEB 19:1994,1993-94,Regular Season,00,SAN vs. MIA,39,85,3,11,19,29,17,34,19,4,9,9,19,100,20,2,21,2,79,207,29
